abandoned,abandoning
driven,driving
drizzled,drizzling
droned,droning
drooled,drooling
drooped,drooping
dropped,dropping
drowned,drowning
drubbed,drubbing
drugged,drugging
drummed,drumming
drunk,drinking
dry-cleaned,dry-cleaning
dubbed,dubbing
ducked,ducking
duelled,duelling
dug,digging
dulled,dulling
dumbfounded,dumbfounding
dumped,dumping
dunked,dunking
duped,duping
duplicated,duplicating
dusted,dusting
dwarfed,dwarfing
dwelt,dwelling
dwindled,dwindling
dyed,dyeing
dynamited,dynamiting
earmarked,earmarking
earned,earning
eased,easing
eaten,eating
eavesdropped,eavesdropping
ebbed,ebbing
echoed,echoing
eclipsed,eclipsing
economized,economizing
eddied,eddying
edged,edging
edified,edifying
edited,editing
educated,educating
effaced,effacing
effected,effecting
effervesced,effervescing
egged,egging
ejaculated,ejaculating
ejected,ejecting
eked,eking
elaborated,elaborating
elapsed,elapsing
elbowed,elbowing
elected,electing
electrified,electrifying
electrocuted,electrocuting
elevated,elevating
elicited,eliciting
elided,eliding
eliminated,eliminating
elongated,elongating
eloped,eloping
elucidated,elucidating
eluded,eluding
emanated,emanating
emancipated,emancipating
emasculated,emasculating
embalmed,embalming
embargoed,embargoing
embarked,embarking
embarrassed,embarrassing
embedded,embedding
embellished,embellishing
embezzled,embezzling
embittered,embittering
emblazoned,emblazoning
embodied,embodying
emboldened,emboldening
embossed,embossing
embraced,embracing
embroidered,embroidering
embroiled,embroiling
emended,emending
emerged,emerging
emigrated,emigrating
emitted,emitting
empanelled,empanelling
emphasized,emphasizing
employed,employing
empowered,empowering
emptied,emptying
emulated,emulating
emulsified,emulsifying
enabled,enabling
enacted,enacting
enamelled,enamelling
encamped,encamping
encased,encasing
enchanted,enchanting
encircled,encircling
enclosed,enclosing
encoded,encoding
encompassed,encompassing
encountered,encountering
encouraged,encouraging
encroached,encroaching
encrypted,encrypting
encumbered,encumbering
endangered,endangering
endeared,endearing
endeavoured,endeavouring
ended,ending
endorsed,endorsing
endowed,endowing
endured,enduring
enervated,enervating
enfolded,enfolding
enforced,enforcing
enfranchised,enfranchising
engaged,engaging
engendered,engendering
engineered,engineering
engraved,engraving
engrossed,engrossing
engulfed,engulfing
enhanced,enhancing
enjoined,enjoining
enlarged,enlarging
enlightened,enlightening
enlisted,enlisting
enlivened,enlivening
enmeshed,enmeshing
ennobled,ennobling
enquired,enquiring
enraged,enraging
enriched,enriching
enroled,enroling
enrolled,enrolling
ensconced,ensconcing
enshrined,enshrining
enshrouded,enshrouding
enslaved,enslaving
ensnared,ensnaring
ensued,ensuing
ensured,ensuring
entailed,entailing
entangled,entangling
entered,entering
entertained,entertaining
enthralled,enthralling
enthroned,enthroning
enticed,enticing
entitled,entitling
entombed,entombing
entrained,entraining
entranced,entrancing
entrapped,entrapping
entreated,entreating
entrusted,entrusting
entwined,entwining
enumerated,enumerating
enunciated,enunciating
enveloped,enveloping
envied,envying
envisaged,envisaging
envisioned,envisioning
epitomized,epitomizing
equalized,equalizing
equalled,equalling
equated,equating
equipped,equipping
eradicated,eradicating
erased,erasing
erected,erecting
eroded,eroding
erred,erring
erupted,erupting
escalated,escalating
escaped,escaping
eschewed,eschewing
escorted,escorting
espied,espying
espoused,espousing
established,establishing
esteemed,esteeming
estimated,estimating
etched,etching
eulogized,eulogizing
evacuated,evacuating
evaded,evading
evaluated,evaluating
evaporated,evaporating
evicted,evicting
evinced,evincing
eviscerated,eviscerating
evoked,evoking
evolved,evolving
exacerbated,exacerbating
exaggerated,exaggerating
exalted,exalting
examined,examining
exasperated,exasperating
excavated,excavating
exceeded,exceeding
excelled,excelling
excepted,excepting
exchanged,exchanging
excised,excising
excited,exciting
exclaimed,exclaiming
excluded,excluding
excommunicated,excommunicating
excoriated,excoriating
excreted,excreting
exculpated,exculpating
excused,excusing
executed,executing
exemplified,exemplifying
exempted,exempting
exercised,exercising
exerted,exerting
exhaled,exhaling
exhausted,exhausting
exhibited,exhibiting
exhilarated,exhilarating
exhorted,exhorting
exhumed,exhuming
exiled,exiling
existed,existing
exited,exiting
exonerated,exonerating
exorcized,exorcizing
expanded,expanding
expatiated,expatiating
expected,expecting
expedited,expediting
expelled,expelling
expended,expending
experienced,experiencing
experimented,experimenting
expiated,expiating
expired,expiring
explained,explaining
explicated,explicating
exploded,exploding
exploited,exploiting
explored,exploring
exported,exporting
exposed,exposing
expostulated,expostulating
expounded,expounding
expressed,expressing
expropriated,expropriating
expunged,expunging
expurgated,expurgating
extemporized,extemporizing
extended,extending
extenuated,extenuating
exterminated,exterminating
externalized,externalizing
extinguished,extinguishing
extirpated,extirpating
extolled,extolling
extorted,extorting
extracted,extracting
extradited,extraditing
extrapolated,extrapolating
extricated,extricating
exuded,exuding
exulted,exulting
eyed,eying
fabricated,fabricating
faced,facing
